Artikelnummer;Marke;Material1;Material2;Material3;Legierung1;Legierung2;Legierung3;Kollektion;Warengruppe;Warenhauptgruppe;Geschlecht
88664035;Tirpse;Edelstahl;;;;;;2023;Uhr mit Lederband;Damenuhren;Damen
88664043;Tirpse;Edelstahl;;;;;;2023;Uhr mit Lederband;Damenuhren;Damen
88664051;Tirpse;Edelstahl;;;;;;2023;Uhr mit Lederband;Damenuhren;Damen
88664078;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664086;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664094;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664108;Tirpse;Edelstahl;;;;;;2023;Uhr mit Lederband;Damenuhren;Damen
88664116;Tirpse;Edelstahl;;;;;;2023;Uhr mit Lederband;Damenuhren;Damen
88664124;Tirpse;Kunststoff;;;;;;2023;Uhr mit Kunststoffband;Damenuhren;Damen
88664132;Tirpse;Kunststoff;;;;;;2023;Uhr mit Kunststoffband;Damenuhren;Damen
88664141;Tirpse;Kunststoff;;;;;;2023;Uhr mit Kunststoffband;Damenuhren;Damen
88664159;Tirpse;Kunststoff;;;;;;2023;Uhr mit Kunststoffband;Damenuhren;Damen
88664167;Tirpse;Kunststoff;;;;;;2023;Uhr mit Kunststoffband;Damenuhren;Damen
88664175;Tirpse;Kunststoff;;;;;;2023;Uhr mit Kunststoffband;Damenuhren;Damen
88664183;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664191;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664205;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664213;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664221;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664248;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664256;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664264;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664299;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664302;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664311;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664329;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664337;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664345;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664353;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664361;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664388;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664396;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664418;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664426;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664434;Tirpse;Edelstahl;;;;;;2023;Uhr mit Lederband;Damenuhren;Damen
88664442;Tirpse;Edelstahl;;;;;;2023;Uhr mit Lederband;Damenuhren;Damen
88664451;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664469;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664485;Tirpse;Edelstahl;;;;;;2023;Uhr mit Lederband;Damenuhren;Damen
88664493;Tirpse;Edelstahl;;;;;;2023;Uhr mit Lederband;Damenuhren;Damen
88664507;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664515;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664523;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664574;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664582;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664591;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664604;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664612;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664621;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664639;Tirpse;Edelstahl;;;;;;2023;Multifunktion Lederband;Damenuhren;Damen
88664647;Tirpse;Edelstahl;;;;;;2023;Multifunktion Lederband;Damenuhren;Damen
88664655;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664663;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664671;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664698;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664701;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Damenuhren;Damen
88664728;Tirpse;Edelstahl;;;;;;2023;Multifunktion Metallband;Damenuhren;Damen
88664736;Tirpse;Edelstahl;;;;;;2023;Multifunktion Metallband;Damenuhren;Damen
88664744;Tirpse;Edelstahl;;;;;;2023;Multifunktion Metallband;Damenuhren;Damen
88664752;Tirpse;Edelstahl;;;;;;2023;Chronograph Metallband;Damenuhren;Damen
88664761;Tirpse;Edelstahl;;;;;;2023;Chronograph Metallband;Damenuhren;Damen
88664779;Tirpse;Edelstahl;;;;;;2023;Chronograph Metallband;Damenuhren;Damen
88664787;Tirpse;Edelstahl;;;;;;2023;Chronograph Metallband;Damenuhren;Damen
88664795;Tirpse;Edelstahl;;;;;;2023;Uhr mit Lederband;Herrenuhren;Herren
88664809;Tirpse;Edelstahl;;;;;;2023;Uhr mit Lederband;Herrenuhren;Herren
88664817;Tirpse;Edelstahl;;;;;;2023;Uhr mit Lederband;Herrenuhren;Herren
88664825;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Herrenuhren;Herren
88664833;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Herrenuhren;Herren
88664841;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Herrenuhren;Herren
88664868;Tirpse;Edelstahl;;;;;;2023;Uhr mit Lederband;Herrenuhren;Herren
88664876;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Herrenuhren;Herren
88664884;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Herrenuhren;Herren
88664892;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Herrenuhren;Herren
88664906;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Herrenuhren;Herren
88664914;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Herrenuhren;Herren
88664922;Tirpse;Edelstahl;;;;;;2023;Multifunktion Metallband;Herrenuhren;Herren
88664931;Tirpse;Edelstahl;;;;;;2023;Multifunktion Metallband;Herrenuhren;Herren
88664949;Tirpse;Edelstahl;;;;;;2023;Multifunktion Metallband;Herrenuhren;Herren
88664957;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Herrenuhren;Herren
88664965;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Herrenuhren;Herren
88664973;Tirpse;Edelstahl;;;;;;2023;Uhr mit Metallband;Herrenuhren;Herren
88664981;Tirpse;Edelstahl;;;;;;2023;Multifunktion Kautschukband;Herrenuhren;Herren
88665007;Tirpse;Edelstahl;;;;;;2023;Multifunktion Kautschukband;Herrenuhren;Herren
88665015;Tirpse;Edelstahl;;;;;;2023;Multifunktion Kautschukband;Herrenuhren;Herren
88665023;Tirpse;Edelstahl;;;;;;2023;Multifunktion Metallband;Herrenuhren;Herren
88665031;Tirpse;Edelstahl;;;;;;2023;Multifunktion Metallband;Herrenuhren;Herren
88665058;Tirpse;Edelstahl;;;;;;2023;Multifunktion Metallband;Herrenuhren;Herren
88665066;Tirpse;Edelstahl;;;;;;2023;Multifunktion Metallband;Herrenuhren;Herren
88665074;Tirpse;Edelstahl;;;;;;2023;Multifunktion Metallband;Herrenuhren;Herren
88665082;Tirpse;Edelstahl;;;;;;2023;Multifunktion Metallband;Herrenuhren;Herren
88665091;Tirpse;Edelstahl;;;;;;2023;Chronograph Metallband;Herrenuhren;Herren
88665104;Tirpse;Edelstahl;;;;;;2023;Chronograph Metallband;Herrenuhren;Herren
88665112;Tirpse;Edelstahl;;;;;;2023;Chronograph Kautschukband;Herrenuhren;Herren
88665121;Tirpse;Edelstahl;;;;;;2023;Chronograph Kautschukband;Herrenuhren;Herren
88665139;Tirpse;Edelstahl;;;;;;2023;Chronograph Kautschukband;Herrenuhren;Herren
88672178;Tirpse;Edelstahl;;;;;;2023;Chronograph Lederband;Damenuhren;Damen
88672186;Tirpse;Edelstahl;;;;;;2023;Chronograph Lederband;Damenuhren;Damen
88672712;Tirpse;Silber;;;925;;;2023;COLLIERKETTE;Halsschmuck;Damen
88672721;Tirpse;Silber;;;925;;;2023;COLLIERKETTE;Halsschmuck;Damen
88672739;Tirpse;Silber;;;925;;;2023;COLLIERKETTE;Halsschmuck;Damen
